American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK), B07CJCGM1M ,‎Samsonite,NA
Puma unisex-adult PUMA Laptop Backpack IND III Puma Red-Peacoat Laptop,B08BTPS12W,"Puma, Sgs Overseas Pvt.Ltd,,C-76,Sector-65,Noida,,Gautam Buddha Nagar,, Uttar Pradesh-201301, 201301 Noida, India",NA
"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty",B0BR1C59R8,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care: Email : customercare@uppercase.co.in & Contact no. +91 8691 800 800",NA
18 L Multicolour Printed Drawstring Polyester Multi Utility Bag for Sports/Gym/Yoga/College/Casual Backpack – Light Weight/Washable,B09ZL3SCTQ,NA,"This CSZ backpacks is made of polyester. This backpack has one main compartment. This drawstring backpack is efficient to hold your essentials. The Drawstring bag is excellent quality and durability. These backpacks are available in brilliant and long lasting colors. This backpack is perfect for sports man, athletes and students also. Its compact size and style definitely adds in your dazzling personality. Dimension: (W x H): 13 x 19 inch. (33 X 48 cm) This bag is easy to wash. Shop with Confidence. Material: Polyester. Easily Washable and Durable."
Lavie Sport Chairman Backpack with Laptop Sleeve | Premium Leatherette Business Backpack for Men & Women | Durable Office Bag for Notebook/MacBook,B09YCSCRBW,"Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093",NA
TUFFGEAR Polyester Gym Bag Workout 23 Litre Gym Duffle Bag Yellow,B08R7HYFM1,"COSMUSBAGS PVT.LTD., COSMUSBAGS PVT.LTD.",NA
"AirCase Office Messenger Sling Bag fits upto 15.6"" Laptop/Macbook, Detachable Shoulder Strap, Waterproof, Shockproof, Carry Handle with Spacious Pockets, For Men & Women, Blue- with Warranty", B07X6DV3VM ,"‎AirCase, Istuff365, Godown No.H-3, Dharam Complex, Thane-421302",NA
TRAVEL POINT 30L Laptop Backpack | School Bag | School Backpack | College Backpack | Travel Backpack | Office Backpack | Multipurpose Backpack For Men & Women (DOUBLE-LINE-YELLOW) with 1 Year Warranty,B0B2JRGLXQ,"TRAVEL POINT, TRAVEL POINT",NA
"Red Lemon Swiss Cut Design 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls",B09RK4BRPM,NA,NA
Trajectory 15.6 Inch Vegan Leather Messenger Laptop bag for men in Office for all laptop like Apple MacBook with 2 Years Warranty and Spacious Multiple Compartment with Expandable Bottom Used as Shoulder and Handbag for Men,B09RK6NCGC,"Trajectory Marketing LLP, Customer support contact no:- 8178915719",NA
"Storite PU Leather 14 inch Laptop Messenger Organizer Bag/Shoulder Sling Office Bag for Men, Notebook, Tablet Carrying Handbags For Women - Light Brown", B081GQJLD2 ,‎SaiTech IT Private Limited,NA
"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty",B0BR1C59R8,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care: Email : customercare@uppercase.co.in & Contact no. +91 8691 800 800",NA
Trajectory 15.6 Inch Vegan Leather Messenger Laptop bag for men in Office for all laptop like Apple MacBook with 2 Years Warranty and Spacious Multiple Compartment with as Shoulder and Handbag for Men,B0BCQCWMPW,"Trajectory, Customer support contact no:- 8178915719",NA
Lavie Women's Nova Tote Bag | Ladies Purse Handbag,B07MXNWTB2,"Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093",This trendy Red tote from Lavie is an absolute necessity. It has a woven pattern for a twigged Indian appeal. Fuse it with your favourite denims and heels.
"AirCase Premium Messenger Bag fits Upto 14.1"" Laptop/MacBook with Handles & Detachable Shoulder Strap |Multiple Spacious Compartments | 2 in 1 Usage | Water Repellent Durable Polyester (Grey)", B0B74Z4F6P ,"‎AirCase, Istuff365, Godown No.H-3, Dharam Complex, Thane-421302",NA
Tommy Hilfiger Connor Laptop Backpack,B07N99SXB1,"Brand Concepts Ltd, Brand Concepts Ltd 140/2/2, Ring Road Sqaure,, Musakhedi, Indore, Madhya Pradesh 452010",NA
ZOUK Mughal Art Printed Handmade Vegan Leather Women's Office Bag for 15.6 inch Laptop with Double Handles,B09DF2NPCS,"Sea Turtle Pvt Ltd, Sea Turtle Pvt Ltd, Near Kalher Village, Building No 1-6/H No 196/Gala No 1-5, 1st Floor, Shree Arihant Complex, Bhiwandi Road, Kopar, Bhiwandi, Thane, Maharashtra - 421302",NA
CAPRIFF 32 L Casual Waterproof Laptop Bag/Backpack for Men Boys & Girls For Office School College Teens & Students with Rain Cover With adjustable Strap With 2 Compartment,B084T7X2HX,No,"Teal in color so that it does not catch dust easily || A SECRET POCKET at bottom || Designed For Comfort- back padded and padded strap for more comfort || made from heavy quality nylon and polyester || best quality zip and chain used || It is fully waterproof to protect your books laptop from rain || best quality material used to design its inside structure || a fully paddded laptop sleeve that fit to all sizes and companies of laptop like HP , Dell , Asus , Lenovo , mi etc"
CRALOFT Polyester 11.5 inch Side Bag For Men/Sling Bag/Crossbody Tablet Messenger Bag For Office Business Travel (Extra Spacious),B09TL193PL,"Craloft, Craloft, Sidhpur Highway, Beside National Auto Service Center, Kakoshi Char Rasta, pin-384151, Gujarat",NA
Martucci Jersey 45L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,B0BRJRVH6D,Martucci,NA
Skybags 22 ltrs (16 Cms) backpack(BPFLE22EBTH_Blith),B0B21Z3DBD,"VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India",A super sleek and casual 22L daypack. Ideal for college student or a day tour. Big enough to carry all your essentials. Sleek enough to carry it with ease
ZOUK Mughal Art Printed Handmade Vegan Leather Women's Office Bag for 15.6 inch Laptop with Double Handles,B09DF2NPCS,"Sea Turtle Pvt Ltd, Sea Turtle Pvt Ltd, Near Kalher Village, Building No 1-6/H No 196/Gala No 1-5, 1st Floor, Shree Arihant Complex, Bhiwandi Road, Kopar, Bhiwandi, Thane, Maharashtra - 421302",NA
CAPRIFF 32 L Casual Waterproof Laptop Bag/Backpack for Men Boys & Girls For Office School College Teens & Students with Rain Cover With adjustable Strap With 2 Compartment,B084T7X2HX,No,"Teal in color so that it does not catch dust easily || A SECRET POCKET at bottom || Designed For Comfort- back padded and padded strap for more comfort || made from heavy quality nylon and polyester || best quality zip and chain used || It is fully waterproof to protect your books laptop from rain || best quality material used to design its inside structure || a fully paddded laptop sleeve that fit to all sizes and companies of laptop like HP , Dell , Asus , Lenovo , mi etc"
"Puma Laptop Backpack (7548709, Limoges, 22 Ltrs)",B07D5QZ76G,"SSIPL RETAIL LIMITED, SSIPL RETAIL LIMITED, KUNDLI, 75, SERSA ROAD-131028, SONEPAT; Email: customercareindia@puma.com, Hotline: 1800 102 7862",This is a durable product. It ensures you get the best usage for a longer period
Safari Polyester 24 Cms Travel Bag(KRYPTON17DFBLK_Black),B097L3XJ38,"Safari, Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838",Carry your gyml essentials effortlessly in style. Krypton is a lightweight and durable gym duffle bag with 25L of storage capacity. It is made out of premium polyester material to suit your gym requirements. The quick access front pocket makes your travel hassle free. Adjustable shoulder straps are provided along with dual handles for easy carriage of the bag. The color of the bag stands out in crowd and circular shape makes your gym bag look trendy.
DailyObjects Trapeze Sling Crossbody Bag for Girls and Women | Made with Durable Vegan Leather Material | Carefully Handcrafted | Zip Closure | Adjustable and Detachable Straps | Multicolor,B082HZVTRG,"Dailyobjects, Firki Wholesale Private Limited, Block-A, Property No-12/1, Industrial Colony,Infocity,Sector-34, Gurugram, Haryana",NA
POLICE BRETHA LAPTOP BACKPACK,B0BLBZSF26,"Torero Corporation Pvt. Ltd, Torero Corporation Pvt. Ltd ; S22, Phase 3, Kasba Industrial Estate, Anandapur, Kolkata, West Bengal 700107, Email- customercare@torerocorp.com","Pump up your style quotient a notch higher as you step out carrying casual backpack from the house of Police. It has a vibrant and stylish design, along with the added benefit of spacious interiors. Made from Nylon. The bag has padded adjustable back straps that provide carrying comfort. The back panel is also finely padded for ease when you are carrying the backpack."
THE CLOWNFISH Cosmic Critters Series Printed Polyester 15 Litres Kids Backpack Unisex School Bag with Free Pencil Staionery Pouch Daypack Casual Backpack Picnic Bag for tiny tots boys & girls,B0BVJ526VS,"Skyventure, Green Apple Venture LLP. (Contact No- +91-9167484284)",NA
"DIVULGE Multi Utility Drawstring Bag (Black , 16 L)",B07PXTDBH4,DIVULGE,"Divulge drawstring backpack is a 16 Litres - sports & multi utility backpack made out of high-performance coated polyester fabric which makes the backpack sturdy, durable and highly water resistant.The gussets on the either sides of the backpack expands and provides a roomy space when filled with stuff. Provided with stretchable Strings for Main Closure, makes it easy and quick to store the things. As its a collapsible bag you can fold it into a small size and keep it in a pocket. This backpack is perfect pick for all purposes, be it for your day trips, tuition classes, Gyming, yoga, Swimming, cycling and other sport sessions."
ADISA Large Laptop Backpack Office Bag College Travel Back Pack with USB (Grey),B0BXQD8DZX,"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com","High Quality large and spacious laptop backpack with 1 main laptop compartment and 1 front easy-access pocket. It is ideal for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. It also has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on one side and has USB charging slot on the other side. It has padded shoulder straps for your comfort."
F Gear Enzo Sports Waist Bag (.Red),B0862LF7HS,"F Gear, Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1 , 1st & 2nd Floor, Industrial Suburb, 2nd Stage, Yeshwantpur, Next to Sapna Books on MEI road, Bangalore – 560 022. INDIA Tel: 9066161590",The product will be an excellent pick for you. It ensures an easy maintenance.
Wesley DareDevil 35 L Water Resistant College Backpack/Travel Bagpack/School Bag/Office Bag/Business Backpack/LaptopBackpack/Daypack for Men and Women,B0CB8932FN,"Wesley, Longani Trading Company",Wesley Daredevil backpack
"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",B0BWNBQXDZ,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care: Email : customercare@uppercase.co.in & Contact no. +91 8691 800 800",NA
"Lenovo 15.6"" Professional Backpack, Made in India, Water-resistant,Uncompromised storage, Travel friendly:Fleece-lined PC compartment,Vented,Padded BackPanel & Adjustable shoulder straps,Luggage strap",B08R7S55H4,"Lenovo, #43/3, Maruthi Mandira, Arisina Kunta, Next to Holiday Plam Hotel, Nelamangala, Bangalore 562123, India",NA
TAGUDA travel foldable portable lightweight luggage storage duffle tote hand organizer easy carry bags backpack set for men women travel luggage (Mint Green Travel bag),B0B8CSC4F1,NA,TAGUDA Travel Foldable Nylon Duffle Tote Bag Portable Waterproof Lightweight Carry On Luggage Sport Folding Duffle Bag Weekender Overnight Gym Sports Bag for Women Girl Large Capacity Folding Travel Bag Foldable Travel Duffel Bag Portable Travel Lightweight Waterproof Oxford Fabric Duffel Bag for Sports Gym Vacation Folding Travel Bag with Luggage Sleeve Pink Shoulder Travel Duffle Bags for Women Expandable Weekender Carry On Overnight Bags Gym Tote Bag with Dry Wet Separation
"MuscleBlaze Gym Duffle Bag for Women and Men, Sports Bag, Weekender Bag, Black, 30 L",B0C8BBNB8B,"Bright Lifecare Pvt. Ltd., Bright Lifecare Pvt. Ltd., T-01, 3rd Floor, parsavnath Arcadia, M.G Road, Sector-14, Gurugram (Haryana) -122001",MuscleBlaze Gym Duffle Bag - Great for Life On The Go!
"MuscleBlaze Gym Duffle Bag for Women and Men, Sports Bag, Weekender Bag, Black, 30 L",B0C8BBNB8B,"Bright Lifecare Pvt. Ltd., Bright Lifecare Pvt. Ltd., T-01, 3rd Floor, parsavnath Arcadia, M.G Road, Sector-14, Gurugram (Haryana) -122001",MuscleBlaze Gym Duffle Bag - Great for Life On The Go!
"POLESTAR Ranker 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",B08421BRQ2,"POLESTAR, JAI AMBAY ENTERPRISES ,03AAFFJ0421M1ZQ, B -29 ,Sports & Surgical complex,Kapurthala Road, Jalandhar Punjab 140021 India . +91 9914112308 , polestarbags@gmail.com","RAIN COVER & PREMIUM FABRIC : POLESTAR RANKER”, Stylish and durable laptop backpack for school /college and travel. Easily accommodate 15.6 inch laptop. Size: 46 cm X 32 cm X 22 cm : 32 liters .We are providing a “ FREE RAIN COVER “ inside a bottom zipper pocket , which makes this An all-weather backpack . This “MAKE IN INDIA” Product features 2 large zippered compartments, 1 vertical long zip pocket at front, one laptop partition, 1 water bottle /umbrella pockets and Organizer Pockets inside. Suitable for casual usage, school / college / office n travel."
"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",B0BWNBQXDZ,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care: Email : customercare@uppercase.co.in & Contact no. +91 8691 800 800",NA
HP Lightweight 100 Laptop Backpack with Elastic and Padded Shoulder Straps (Gray), B08CY1V6P7 ,"‎Korrun India Pvt. Ltd., Korrun India Pvt. Ltd.","HP Lightweight Backpack with double compartment, 2 stretchable bottle holders, Accessory pocket with pen and phone holders, Air mesh padded back panel and shoulder straps"
Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,B0C23BYDML,Half_Moon (AB Amazing Bags),"A super-slim design, trendy looks and durable construction - this stylish 35 L backpack from Half Moon has got everything that will complement your youthful personality. With its spacious interiors, this unisex backpack is a great option for short road trips, college and work. Ergonomic design Crafted from polyester, this medium backpack is sturdy enough to withstand regular wear and tear gracefully. It features a cushioned base and internal back padding to offer you extra comfort. The padded shoulder straps of this bag can be easily adjusted according to your liking. Spacious Featuring one front pocket and three main compartments, all with speciality zippers, this bag offers you enough space to carry your books, files, coins, travel accessories, stationery, keys and mobile accessories. It comes with the Half Moon promise of quality."
TAGUDA travel foldable portable lightweight luggage storage duffle tote hand organizer easy carry bags backpack set for men women travel luggage (Mint Green Travel bag),B0B8CSC4F1,NA,TAGUDA Travel Foldable Nylon Duffle Tote Bag Portable Waterproof Lightweight Carry On Luggage Sport Folding Duffle Bag Weekender Overnight Gym Sports Bag for Women Girl Large Capacity Folding Travel Bag Foldable Travel Duffel Bag Portable Travel Lightweight Waterproof Oxford Fabric Duffel Bag for Sports Gym Vacation Folding Travel Bag with Luggage Sleeve Pink Shoulder Travel Duffle Bags for Women Expandable Weekender Carry On Overnight Bags Gym Tote Bag with Dry Wet Separation
"MOKOBARA The Briefcase - 15.6"" Blue Laptop Messenger Bag for Men & Women",B08SWM8XVW,"Designed by Mokobara Lifestyle Private Limited., Designed by Mokobara Lifestyle Private Limited, Bangalore.",NA
Red Lemon Unisex-adult Bange Series Rhombus Shell Design Waterproof Sling Bag with USB Charging (Blue),B09VGNTJTN,NA,NA
K London Stylish Real Leather Black Waist Bag Elegant Style Travel Pouch Passport Holder with Adjustable Strap(246_Black),B07ZFT873B,"URBAN STYLE PROJECT, ccare.klondon@gmail.com","Stylish & trendy Black coloured Waist bag from the house of K London, designed to carry all small and regular accessory like cards, keys, earphones, power bank, coins, pen, Money,Passport,Card holders and other valuables etc. Made with high quality soft Genuine Leather. It has Adjustable Strap to fit waist of all sizes. This waist pouch has 2 zipper pockets in the front and 1 zipper pocket at back.This Waist pouch is ideal for men and women for travelling. Avoid contact with moisture and water."
Skybags Unisex Polyester Solid Valor Nxt 01 Laptop Backpack Blue,B0BK4857ZN,Skybags,"VIP Industries Limited is a renowned brand specializing in the manufacturing of quality bags for a wide range of purposes. With a rich history and extensive expertise in the industry, VIP Industries has established itself as a trusted provider of bags for numerous renowned brands. From travel luggage to stylish backpacks, business cases to trendy handbags, VIP Industries offers a diverse portfolio of products that cater to the diverse needs and preferences of its customers."
"Genie Fringe Laptop Backpack for Women, 3 compartments, Stylish and Trendy College Bags for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres",B097JJ64SH,"Safari, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838","How do you describe a Perfect School Backpack? Spacious enough to carry all the books, yet Light Weight! Padded Laptop Sleeve to keep it secure and sound. Multiple Pockets to segregate all the items and keep it easily accessible. An Organizer to keep your each and every school supplies in an arranged manner. Side Pocket to keep the Water Bottle. Water Resistant exteriors to keep all your worries at bay and lastly, latest and trendy design to keep those ""Cute Bagpack"" compliment coming in! Yes. We have that Perfect Bag for you, in our Genie store. Bringing you a cute, stylish and trendy design, Genie Fringe School Bag."
NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),B0BW95MXRJ,NA,"A sporty versatile Backpack from Northzone. It has a top opening compartment for quick & easy access to essentials while the mesh padding on the back panel will feel comfortable, even on a hot day. This backpack can be carried in 2 ways as it has an additional front handle to hold it in case you’re unable to carry it on your back."
American Tourister Spin 49 cms Teal Laptop Backpack,B07S13P8BW,"American Tourister, SAMSONITE SOUTH ASIA PVT. LTD GAT NO.159 TO 163,GONDE,TALUKA-IGATPURI NASIK 422403;Tel No. 02553-229700",NA
"AmazonBasics Water Repellent and Wear Resistant Laptop Backpack - 24L, Blue", B09W43XLBY ,"‎TORG INDIA PVT. LTD., TORG INDIA PVT. LTD. #6, Samarpan Enclave, ECC Road, Whitefield, Bangalore,Karnataka 560066, India, Ph: +91 9620199222, avisekm@torgusa.com",NA
ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Green),B0BPVCBFM7,"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",NA
Lavie Women's Sara Box Sling Bag | Ladies Purse Handbag,B08JDK6VT1,"Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093",NA
"DERBEN CLOVE® 15.6 Men and Women Laptop, MacBook Shoulder Messenger Sling Office Bag - Grey",B08TVL3MWJ,Derben Clove,NA
Red Lemon Unisex-adult Bange Series Rhombus Shell Design Waterproof Sling Bag with USB Charging (Blue),B09VGNTJTN,NA,NA
NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,B0BL3S5NC1,"Northzone, Plot no 35 to 40 KH.No. 28/2 Ground Floor Agar Nagar Prem Nagar Phase 3 Delhi 110086","If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily."
CAPRIFF 32 L Casual Waterproof Laptop Bag/Backpack for Men Boys & Girls For Office School College Teens & Students with Rain Cover With adjustable Strap With 2 Compartment,B09V5HRYR7,Capriff,"Teal in color so that it does not catch dust easily || A SECRET POCKET at bottom || Designed For Comfort- back padded and padded strap for more comfort || made from heavy quality nylon and polyester || best quality zip and chain used || It is fully waterproof to protect your books laptop from rain || best quality material used to design its inside structure || a fully paddded laptop sleeve that fit to all sizes and companies of laptop like HP , Dell , Asus , Lenovo , mi etc"
K London Stylish Real Leather Black Waist Bag Elegant Style Travel Pouch Passport Holder with Adjustable Strap(246_Black),B07ZFT873B,"URBAN STYLE PROJECT, ccare.klondon@gmail.com","Stylish & trendy Black coloured Waist bag from the house of K London, designed to carry all small and regular accessory like cards, keys, earphones, power bank, coins, pen, Money,Passport,Card holders and other valuables etc. Made with high quality soft Genuine Leather. It has Adjustable Strap to fit waist of all sizes. This waist pouch has 2 zipper pockets in the front and 1 zipper pocket at back.This Waist pouch is ideal for men and women for travelling. Avoid contact with moisture and water."
F Gear Axe 27L Black Navy Blue School Bag 1860,B00MI562BG,"Uber Fashion Merchandise Pvt. Ltd., Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1 , 1st & 2nd Floor, Industrial Suburb, 2nd Stage, Yeshwantpur, Next to Sapna Books on MEI road, Bangalore – 560 022. INDIA Tel: 9066161590","A high quality stylish and contemporary daypack with multi-utility compartments. Two side mesh pockets to hold water bottle/accessories, hassle free. Separate mesh pockets ensure your other belongings will stay dry and protected from moisture. Mini zippered pockets can be used to store your sunglasses or other delicate items that can otherwise easily be ruined by heavier items. It has the signature F Gear quality."
Wildcraft Hopper 1.0 Laptop Backpack 24L (Blue),B07YNL6H8H,NA,This Laptop Backpack ha capacity of 24 L. This comes in blue colour.
American Tourister Spin 49 cms Teal Laptop Backpack,B07S13P8BW,"American Tourister, SAMSONITE SOUTH ASIA PVT. LTD GAT NO.159 TO 163,GONDE,TALUKA-IGATPURI NASIK 422403;Tel No. 02553-229700",NA
Baggit GG Women's Laptop Bag - Large,B0BWRYTLHV,"Baggit India Pvt Ltd, Baggit India Pvt Ltd","The laptop bag has a special compartment that is slightly larger than the laptop, and designed to protect the device from bumps, scratches, water and dust in everyday use."
Lavie Women's Sara Box Sling Bag | Ladies Purse Handbag,B08JDK6VT1,"Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093",NA
"Meek HP Executive Essential Laptop Bag, 17.5Inch Padded Backpack Lightweight Bag - Grey Black",B0C7WKWTZJ,"Bansal Traders Delhi, Bansal Traders Delhi","Meek Backpacks feature modern designs that can be as bold or as understated as you want to make them The cases are constructed from durable, high-quality materials designed to provide the utmost protection for a broad range of notebook form factors.This classic unisex backpack is is compatible 17 inch laptop along with Laptop Charger, Official Notebooks, Pen, Hard Drive, Powerbank, Lunch Box, Water Bottle etc.It is very convenient to carry and lightweight with padded shoulderr strap which gives you all day long relax and proper coushning to your shoulder while you carry it."
Sichumaria Flamingo Cosmetic Bag Portable Travel Makeup Bag for Women Large Travel Water-Resistant Zipper Makeup Organizer for Girls Make Up Bag Brush Bags (Pink),B0B1HNQHXD,NA,NA
Arctic Fox Kobra Gamer Laptop Backpack (Black),B09GPHHZPW,"Arctic Fox, Outshiny India Private Limited",NA
F Gear Yakuza Brown 34 liter Laptop Backpack Sch Bag,B071VNWC1C,"Uber Fashion Merchandise Pvt. Ltd., Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1 , 1st & 2nd Floor, Industrial Suburb, 2nd Stage, Yeshwantpur, Next to Sapna Books on MEI road, Bangalore – 560 022. INDIA Tel: 9066161590","The spacious bag as has space for everything you need while travelling and will keep you comfortable and organized. 2 Compartment Laptop Backpack Equipped With One Large Packing Compartment, Built-In Padded Tablet Holder Next To the Laptop Compartment. 2 Exterior pockets The F Gear backpack also comes with padded back and shoulder straps for comfort."
"GoHustle Super Slim Tech Bags for Men, Women | Laptop Backpack Expandablefor Business Commuter",B0C8GP9NKF,"GoHustle, Delhi - 110055. 9315775050, https://www.instagram.com/gohustlestore/, GoHustle, Delhi - 110055. 9315775050, https://www.instagram.com/gohustlestore/",NA
"Tabelito® NEO 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook.",B0C2D2GPWJ,"‎Tabelito Trade India, ‎Tabelito Trade India, Tabelito Trade India, Prop No: 5, Ground Floor, Kh No:641, Village Rithala, Land Mark: Near Suzuki service center (Rithala), Contact : +919958166528","Decent BACKPACK: The Tabelito Backpack / Daypack is made of HIGH QUALITY Anti Scratch Fabric with a sturdy zipper design, making it incredibly sturdy, tear-resistant, and capable of protecting your items from dust, rain, and filth. Even more robust and long-lasting are the strong buckle and zipper. LARGE CAPACITY & MULTI COMPARTMENTS & LIGHT WEIGHT: The backpack has three compartments. There is ample storage for clothes, books, a lunchbox, daily needs, and tech equipment accessories in the separate laptop compartment that fits a 15.6-inch laptop as well as a 15-inch, 14-inch, and 13-inch or Mac book. The middle compartment has enough capacity for a laptop charger, an iPad, a tablet, a smartphone, a document file, and other necessary accessories. There are two small elastic mesh side pockets for water bottles and a front compartment with zipper pockets for easy access items like a mask, wallet, metro card, and wallet. Make your goods more accessible and organised. HIGH QUALITY MATERIAL: The metal zippers on our backpack are made of high-quality, water-resistant Polyester fabric. Lightweight and strong build guarantee daily use that is safe and durable. Perfect for shopping, office work, business travel, weekend trips, and other outdoor activities. It is also the ideal backpack for teens, boys, girls, adults, and other genders."
Sichumaria Flamingo Cosmetic Bag Portable Travel Makeup Bag for Women Large Travel Water-Resistant Zipper Makeup Organizer for Girls Make Up Bag Brush Bags (Pink),B0B1HNQHXD,NA,NA
Arctic Fox Kobra Gamer Laptop Backpack (Black),B09GPHHZPW,"Arctic Fox, Outshiny India Private Limited",NA
F Gear Yakuza Brown 34 liter Laptop Backpack Sch Bag,B071VNWC1C,"Uber Fashion Merchandise Pvt. Ltd., Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1 , 1st & 2nd Floor, Industrial Suburb, 2nd Stage, Yeshwantpur, Next to Sapna Books on MEI road, Bangalore – 560 022. INDIA Tel: 9066161590","The spacious bag as has space for everything you need while travelling and will keep you comfortable and organized. 2 Compartment Laptop Backpack Equipped With One Large Packing Compartment, Built-In Padded Tablet Holder Next To the Laptop Compartment. 2 Exterior pockets The F Gear backpack also comes with padded back and shoulder straps for comfort."
"GoHustle Super Slim Tech Bags for Men, Women | Laptop Backpack Expandablefor Business Commuter",B0C8GP9NKF,"GoHustle, Delhi - 110055. 9315775050, https://www.instagram.com/gohustlestore/, GoHustle, Delhi - 110055. 9315775050, https://www.instagram.com/gohustlestore/",NA
